Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Presidio County,2017,Fourth Quarter,20,273,-15.2,551,-45.8,Natural Resources and Mining,48377,TX
Rains County,2017,Fourth Quarter,11,41,5.1,589,-3.8,Natural Resources and Mining,48379,TX
Randall County,2017,Fourth Quarter,78,370,-8.4,848,2.7,Natural Resources and Mining,48381,TX
Reagan County,2017,Fourth Quarter,49,647,27.6,1206,7.2,Natural Resources and Mining,48383,TX
Real County,2017,Fourth Quarter,10,24,-17.2,614,0.8,Natural Resources and Mining,48385,TX
Red River County,2017,Fourth Quarter,35,156,20,1664,-2.7,Natural Resources and Mining,48387,TX
Reeves County,2017,Fourth Quarter,58,,,,,Natural Resources and Mining,48389,TX
Refugio County,2017,Fourth Quarter,40,324,-13.6,1251,4.5,Natural Resources and Mining,48391,TX
Roberts County,2017,Fourth Quarter,12,,,,,Natural Resources and Mining,48393,TX
Robertson County,2017,Fourth Quarter,61,528,-0.2,1297,16.6,Natural Resources and Mining,48395,TX
Rockwall County,2017,Fourth Quarter,19,116,23.4,1317,3.8,Natural Resources and Mining,48397,TX
Runnels County,2017,Fourth Quarter,40,218,1.9,782,11.9,Natural Resources and Mining,48399,TX
Rusk County,2017,Fourth Quarter,60,1139,7.4,1428,-13,Natural Resources and Mining,48401,TX
Sabine County,2017,Fourth Quarter,10,93,10.7,1798,0.6,Natural Resources and Mining,48403,TX
San Augustine County,2017,Fourth Quarter,17,,,,,Natural Resources and Mining,48405,TX
San Jacinto County,2017,Fourth Quarter,8,22,4.8,673,-6.1,Natural Resources and Mining,48407,TX
San Patricio County,2017,Fourth Quarter,105,869,16.3,1220,2.8,Natural Resources and Mining,48409,TX
San Saba County,2017,Fourth Quarter,38,237,-4.8,708,4.1,Natural Resources and Mining,48411,TX
Schleicher County,2017,Fourth Quarter,24,,,,,Natural Resources and Mining,48413,TX
Scurry County,2017,Fourth Quarter,77,1492,-16.5,1440,13.4,Natural Resources and Mining,48415,TX
Shackelford County,2017,Fourth Quarter,47,455,-7.5,1511,23.6,Natural Resources and Mining,48417,TX
Shelby County,2017,Fourth Quarter,74,635,-23.2,774,-23.7,Natural Resources and Mining,48419,TX
Sherman County,2017,Fourth Quarter,31,376,-11.1,896,-3.1,Natural Resources and Mining,48421,TX
Smith County,2017,Fourth Quarter,204,3004,2.2,1353,7,Natural Resources and Mining,48423,TX
Somervell County,2017,Fourth Quarter,9,153,194.2,1756,2.5,Natural Resources and Mining,48425,TX
Starr County,2017,Fourth Quarter,22,233,-5.7,1047,-7.3,Natural Resources and Mining,48427,TX
Stephens County,2017,Fourth Quarter,61,399,4.5,1456,28.2,Natural Resources and Mining,48429,TX
Sterling County,2017,Fourth Quarter,26,146,-7,1258,4.9,Natural Resources and Mining,48431,TX
Stonewall County,2017,Fourth Quarter,16,73,10.6,1268,54.4,Natural Resources and Mining,48433,TX
Sutton County,2017,Fourth Quarter,45,369,13.5,2120,11.9,Natural Resources and Mining,48435,TX
Swisher County,2017,Fourth Quarter,55,461,2.9,805,7.3,Natural Resources and Mining,48437,TX
Tarrant County,2017,Fourth Quarter,419,8562,4.2,2178,4.9,Natural Resources and Mining,48439,TX
Taylor County,2017,Fourth Quarter,134,1211,18.4,1351,11.4,Natural Resources and Mining,48441,TX
Terrell County,2017,Fourth Quarter,8,12,20,472,-11.8,Natural Resources and Mining,48443,TX
Terry County,2017,Fourth Quarter,146,1085,10,1324,13.4,Natural Resources and Mining,48445,TX
Throckmorton County,2017,Fourth Quarter,19,72,-20,628,-24.3,Natural Resources and Mining,48447,TX
Titus County,2017,Fourth Quarter,18,183,-25,1251,-17.5,Natural Resources and Mining,48449,TX
Tom Green County,2017,Fourth Quarter,183,1575,12.7,1168,13.3,Natural Resources and Mining,48451,TX
Travis County,2017,Fourth Quarter,213,2528,18.1,2652,-4.4,Natural Resources and Mining,48453,TX
Trinity County,2017,Fourth Quarter,8,38,,1015,,Natural Resources and Mining,48455,TX
Tyler County,2017,Fourth Quarter,23,166,0.6,1043,5.7,Natural Resources and Mining,48457,TX
Upshur County,2017,Fourth Quarter,25,131,21.3,1240,1,Natural Resources and Mining,48459,TX
Upton County,2017,Fourth Quarter,28,479,3.7,1757,-4.3,Natural Resources and Mining,48461,TX
Uvalde County,2017,Fourth Quarter,81,550,-18.3,641,3.6,Natural Resources and Mining,48463,TX
Val Verde County,2017,Fourth Quarter,29,194,78,1277,91.5,Natural Resources and Mining,48465,TX
Van Zandt County,2017,Fourth Quarter,58,537,8,511,0.8,Natural Resources and Mining,48467,TX
Victoria County,2017,Fourth Quarter,135,2344,14.7,1556,11.9,Natural Resources and Mining,48469,TX
Walker County,2017,Fourth Quarter,33,139,-13.7,903,15.8,Natural Resources and Mining,48471,TX
Waller County,2017,Fourth Quarter,64,531,20.1,1421,15.2,Natural Resources and Mining,48473,TX
Ward County,2017,Fourth Quarter,86,1487,6.7,1421,1.9,Natural Resources and Mining,48475,TX
Washington County,2017,Fourth Quarter,65,251,-2,1017,-1.8,Natural Resources and Mining,48477,TX
