Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Mason County,2017,Third Quarter,28,141,14.6,768,-1.2,Natural Resources and Mining,48319,TX
Matagorda County,2017,Third Quarter,114,778,10.5,881,12.1,Natural Resources and Mining,48321,TX
Maverick County,2017,Third Quarter,30,389,0.8,910,-8.3,Natural Resources and Mining,48323,TX
Medina County,2017,Third Quarter,100,772,24.3,975,8.6,Natural Resources and Mining,48325,TX
Menard County,2017,Third Quarter,9,22,0,506,7,Natural Resources and Mining,48327,TX
Midland County,2017,Third Quarter,909,23181,22.9,2068,8.9,Natural Resources and Mining,48329,TX
Milam County,2017,Third Quarter,46,198,-5.3,865,17.2,Natural Resources and Mining,48331,TX
Mills County,2017,Third Quarter,15,94,8,524,4,Natural Resources and Mining,48333,TX
Mitchell County,2017,Third Quarter,39,265,9.5,969,-5.4,Natural Resources and Mining,48335,TX
Montague County,2017,Third Quarter,57,692,26,1360,12.9,Natural Resources and Mining,48337,TX
Montgomery County,2017,Third Quarter,270,4530,-3.8,2329,-6.4,Natural Resources and Mining,48339,TX
Moore County,2017,Third Quarter,84,1097,4.9,983,-3.7,Natural Resources and Mining,48341,TX
Morris County,2017,Third Quarter,8,35,6.1,574,2.5,Natural Resources and Mining,48343,TX
Motley County,2017,Third Quarter,10,42,7.7,585,-9.9,Natural Resources and Mining,48345,TX
Nacogdoches County,2017,Third Quarter,70,431,3.6,822,2.4,Natural Resources and Mining,48347,TX
Navarro County,2017,Third Quarter,36,279,28.6,666,7.2,Natural Resources and Mining,48349,TX
Newton County,2017,Third Quarter,14,98,-6.7,796,-4.9,Natural Resources and Mining,48351,TX
Nolan County,2017,Third Quarter,47,226,22.2,1183,13.1,Natural Resources and Mining,48353,TX
Nueces County,2017,Third Quarter,293,3863,23.2,1646,-0.2,Natural Resources and Mining,48355,TX
Ochiltree County,2017,Third Quarter,97,1488,8.8,1097,-11.8,Natural Resources and Mining,48357,TX
Oldham County,2017,Third Quarter,25,112,,773,,Natural Resources and Mining,48359,TX
Orange County,2017,Third Quarter,21,115,23.7,1162,1.3,Natural Resources and Mining,48361,TX
Palo Pinto County,2017,Third Quarter,35,875,45.6,1068,-0.7,Natural Resources and Mining,48363,TX
Panola County,2017,Third Quarter,61,920,-4.8,1247,5.4,Natural Resources and Mining,48365,TX
Parker County,2017,Third Quarter,158,1979,10.7,1588,20.8,Natural Resources and Mining,48367,TX
Parmer County,2017,Third Quarter,106,1422,1.6,667,-4.4,Natural Resources and Mining,48369,TX
Pecos County,2017,Third Quarter,68,753,19,1255,2.3,Natural Resources and Mining,48371,TX
Polk County,2017,Third Quarter,37,186,2.2,936,0.4,Natural Resources and Mining,48373,TX
Potter County,2017,Third Quarter,104,735,8.9,1236,7,Natural Resources and Mining,48375,TX
Presidio County,2017,Third Quarter,20,288,-41.7,604,0.2,Natural Resources and Mining,48377,TX
Rains County,2017,Third Quarter,12,43,0,522,3.6,Natural Resources and Mining,48379,TX
Randall County,2017,Third Quarter,77,378,-3.6,823,2.2,Natural Resources and Mining,48381,TX
Reagan County,2017,Third Quarter,52,634,27.1,1162,-0.8,Natural Resources and Mining,48383,TX
Real County,2017,Third Quarter,9,21,-27.6,606,2.4,Natural Resources and Mining,48385,TX
Red River County,2017,Third Quarter,35,142,26.8,1507,46.5,Natural Resources and Mining,48387,TX
Reeves County,2017,Third Quarter,54,,,,,Natural Resources and Mining,48389,TX
Refugio County,2017,Third Quarter,40,359,-9.6,1135,3.9,Natural Resources and Mining,48391,TX
Roberts County,2017,Third Quarter,12,,,,,Natural Resources and Mining,48393,TX
Robertson County,2017,Third Quarter,57,495,-0.6,1032,-6.3,Natural Resources and Mining,48395,TX
Rockwall County,2017,Third Quarter,19,123,30.9,1433,4.8,Natural Resources and Mining,48397,TX
Runnels County,2017,Third Quarter,40,120,-14.3,627,5.6,Natural Resources and Mining,48399,TX
Rusk County,2017,Third Quarter,60,1173,12.8,1419,-20.7,Natural Resources and Mining,48401,TX
Sabine County,2017,Third Quarter,11,94,5.6,1694,0.2,Natural Resources and Mining,48403,TX
San Augustine County,2017,Third Quarter,16,,,,,Natural Resources and Mining,48405,TX
San Jacinto County,2017,Third Quarter,8,15,-34.8,742,6.5,Natural Resources and Mining,48407,TX
San Patricio County,2017,Third Quarter,107,1006,-3.9,1066,-1.9,Natural Resources and Mining,48409,TX
San Saba County,2017,Third Quarter,38,238,-5.2,733,4.6,Natural Resources and Mining,48411,TX
Schleicher County,2017,Third Quarter,22,,,,,Natural Resources and Mining,48413,TX
Scurry County,2017,Third Quarter,75,1434,-13.1,1472,16.8,Natural Resources and Mining,48415,TX
Shackelford County,2017,Third Quarter,46,433,-1.4,1254,15.7,Natural Resources and Mining,48417,TX
Shelby County,2017,Third Quarter,73,562,-25.6,724,-34.8,Natural Resources and Mining,48419,TX
